"","SRR16611076","SRR16611077","SRR16611078","SRR16611088","SRR16611089","SRR16611090"
"PA14_RS07075",90,59,121,118,111,93
"PA14_RS07080",35,26,28,25,32,21
"PA14_RS07085",53,56,54,57,85,46
"PA14_RS07090",119,116,119,63,100,72
"PA14_RS07095",367,319,358,287,388,398
"PA14_RS07100",465,438,470,411,549,619
"PA14_RS07105",681,570,686,516,744,667
"PA14_RS07110",188,172,242,408,762,470
"PA14_RS07115",697,551,654,1139,1457,1644
"PA14_RS07120",30,19,19,20,23,28
"PA14_RS07125",70,47,63,51,72,63
"PA14_RS07130",525,367,514,326,394,423
"PA14_RS07135",204,175,299,120,102,119
"PA14_RS07140",120,119,144,111,114,106
"PA14_RS07145",238,130,222,162,157,188
"PA14_RS07150",180,131,134,201,237,252
"PA14_RS07155",134,90,110,105,104,119
"PA14_RS07160",102,74,86,62,69,61
"PA14_RS07165",29,15,29,22,21,19
"PA14_RS07170",12,10,14,3,10,6
"PA14_RS07175",159,117,139,82,113,126
"PA14_RS07180",56,44,58,24,39,26
"PA14_RS07185",235,215,214,254,306,376
"PA14_RS07190",510,476,558,479,523,669
"PA14_RS07195",158,133,173,103,168,120
"PA14_RS07200",206,184,191,113,148,133
"PA14_RS07205",25789,19996,25040,18071,20863,20578
"PA14_RS07210",3035,2465,1667,2020,2100,2133
"PA14_RS07215",16830,13723,11199,10194,10396,11480
"PA14_RS07220",6214,4231,4105,3137,3430,3657
"PA14_RS07225",1465,935,1375,1173,1502,1440
"PA14_RS07230",1853,1683,1950,1602,2117,1890
"PA14_RS07235",815,819,995,368,452,371
"PA14_RS07245",509,324,416,425,448,481
"PA14_RS07250",64,43,70,95,106,132
"PA14_RS07255",273,512,369,248,298,254
"PA14_RS07260",706,704,830,553,696,533
"PA14_RS07265",1105,827,1081,997,1138,1883
"PA14_RS07270",835,640,688,815,765,1543
"PA14_RS07275",158,107,145,153,182,177
"PA14_RS07280",182,132,114,157,196,263
"PA14_RS07285",32,37,30,44,50,58
"PA14_RS07290",827,198,618,1714,1629,1202
"PA14_RS07295",344,238,241,242,319,342
"PA14_RS07300",57,46,47,51,60,100
"PA14_RS07305",172,121,133,175,207,199
"PA14_RS07310",113,103,114,113,107,146
"PA14_RS07315",284,251,291,240,270,295
"PA14_RS07320",558,419,503,528,545,610
"PA14_RS07325",1108,752,1302,849,695,682
"PA14_RS07330",444,274,365,406,296,287
"PA14_RS07335",892,505,833,593,556,580
"PA14_RS07340",495,517,477,251,273,316
"PA14_RS07345",48,64,58,21,35,44
"PA14_RS07350",63,73,66,22,37,31
"PA14_RS07355",368,316,341,134,171,202
"PA14_RS07360",223,197,209,89,101,116
"PA14_RS07365",731,816,816,327,455,436
"PA14_RS07370",241,251,314,187,187,147
"PA14_RS07375",390,373,580,431,517,325
"PA14_RS07380",132,83,125,83,73,128
"PA14_RS07385",38,18,29,34,44,39
"PA14_RS07390",18,10,16,18,21,33
"PA14_RS07395",116,89,75,94,79,94
"PA14_RS07400",36,25,34,24,38,37
"PA14_RS07405",27,32,37,19,23,18
"PA14_RS07410",306,213,296,232,266,350
"PA14_RS07415",53,46,67,38,53,41
"PA14_RS07420",52,34,39,38,43,52
"PA14_RS07425",52,36,44,25,38,39
"PA14_RS07430",101,67,88,67,56,62
"PA14_RS07435",94,77,92,53,67,77
"PA14_RS07440",262,253,225,149,179,145
"PA14_RS07445",1100,1150,1274,833,1023,1067
"PA14_RS07450",1101,941,992,623,830,851
"PA14_RS07455",872,690,807,444,542,596
"PA14_RS07460",2684,2424,1951,171,165,167
"PA14_RS07465",293,298,279,190,248,250
"PA14_RS07470",2009,1883,3483,1591,1602,1711
"PA14_RS07475",1534,1789,1658,1305,1422,1377
"PA14_RS07480",11130,9777,8824,8053,8172,8971
"PA14_RS07485",128,90,148,46,62,64
"PA14_RS07490",9208,5633,6547,7404,11284,13881
"PA14_RS07495",954,1004,1087,919,1062,970
"PA14_RS07500",1066,1011,1077,967,1166,1138
"PA14_RS07505",1962,1594,3134,1153,1229,1344
"PA14_RS07510",3852,3892,4309,2524,3926,3659
"PA14_RS07515",1058,742,1053,1026,1284,1348
"PA14_RS07520",64,110,90,38,48,47
"PA14_RS07525",277,285,250,90,119,144
"PA14_RS07530",49,95,76,46,55,48
"PA14_RS31215",5,6,13,0,0,6
"PA14_RS07535",213,482,267,19,23,21
"PA14_RS31370",96,256,145,3,11,13
"PA14_RS07540",123,316,143,12,9,22
"PA14_RS07545",66,218,78,17,23,23
"PA14_RS07550",226,401,166,70,84,89
"PA14_RS07555",106,420,111,55,78,70
"PA14_RS07560",229,453,178,135,140,169
"PA14_RS07565",136,94,116,106,118,143
"PA14_RS07570",262,255,216,160,254,320
"PA14_RS07575",175,205,191,115,160,215
"PA14_RS07580",224,213,198,124,244,235
"PA14_RS07585",236,239,176,208,270,288
"PA14_RS07590",825,960,789,998,1110,886
"PA14_RS07595",207,202,238,253,298,272
"PA14_RS07600",388,302,428,319,387,392
"PA14_RS07605",106,74,75,1,1,0
"PA14_RS07610",362,462,274,9,7,5
"PA14_RS07615",608,708,416,314,396,360
"PA14_RS07620",214,532,236,34,48,44
"PA14_RS07625",300,696,316,54,57,71
"PA14_RS07630",1221,1798,1193,293,373,334
"PA14_RS07635",4044,3883,4415,3143,3650,3667
"PA14_RS07640",1223,1149,1133,970,1129,1290
"PA14_RS07645",1212,994,1344,843,1088,922
"PA14_RS07650",2253,1831,2385,21,34,39
"PA14_RS07655",788,716,800,104,132,124
"PA14_RS07660",8724,5924,7644,520,577,660
"PA14_RS07665",6711,6561,5282,379,390,441
"PA14_RS07670",938,902,739,332,401,319
"PA14_RS07675",193,166,212,114,166,149
"PA14_RS07680",770,534,931,400,430,408
"PA14_RS07685",5564,3243,5248,1802,1946,1904
"PA14_RS07690",1427,1376,1127,1268,1596,1716
"PA14_RS07695",236,213,227,188,243,192
"PA14_RS07700",279,234,286,207,244,191
"PA14_RS07705",615,519,562,492,571,485
"PA14_RS07710",81,48,71,91,122,135
"PA14_RS07715",1502,1359,1559,1296,1474,1444
"PA14_RS07720",1734,1342,1237,1129,1170,1870
"PA14_RS07725",276,199,200,123,184,176
"PA14_RS07730",124,68,81,76,77,89
"PA14_RS07735",623,434,564,296,323,403
"PA14_RS07740",715,487,1759,293,270,306
"PA14_RS07745",1082,919,2339,455,403,454
"PA14_RS07750",1872,1328,2337,1137,1033,1665
"PA14_RS07755",1018,537,487,1146,1078,2309
"PA14_RS07760",1040,672,909,942,896,1272
"PA14_RS07765",755,417,824,438,490,433
"PA14_RS30210",18,7,9,8,13,12
"PA14_RS07770",1130,869,1001,884,940,1067
"PA14_RS07775",275,172,180,165,173,192
"PA14_RS07780",500,567,576,440,625,477
"PA14_RS07785",750,600,890,371,372,331
"PA14_RS07790",411,163,262,50,37,64
"PA14_RS07795",1299,459,1277,581,527,579
"PA14_RS07800",51,24,107,26,24,48
"PA14_RS07805",35,26,31,20,15,41
"PA14_RS07810",25,19,22,25,27,29
"PA14_RS07815",296,85,212,159,118,100
"PA14_RS07820",82,48,108,50,47,69
"PA14_RS07825",27,29,29,17,44,39
"PA14_RS07830",30,18,14,22,18,38
"PA14_RS07835",66,53,67,78,97,72
"PA14_RS07840",98,98,62,90,96,118
"PA14_RS07845",411,413,380,466,454,556
"PA14_RS07850",576,548,440,466,520,680
"PA14_RS07855",268,323,339,263,319,329
"PA14_RS07860",345,384,423,404,424,479
"PA14_RS07865",292,284,456,454,515,497
"PA14_RS07870",76,86,54,94,62,111
"PA14_RS07875",830,604,832,853,1069,1103
"PA14_RS07880",210,211,216,259,348,306
"PA14_RS07885",254,382,283,45,70,241
"PA14_RS07890",423,652,474,114,200,522
"PA14_RS07895",329,362,227,196,247,509
"PA14_RS07900",243,186,184,230,289,300
"PA14_RS07905",56,41,38,63,61,46
"PA14_RS07910",221,200,217,205,259,243
"PA14_RS07915",1049,680,930,664,612,643
"PA14_RS07920",413,304,391,176,192,234
"PA14_RS07925",318,278,346,154,207,207
"PA14_RS07930",210,179,155,160,225,204
"PA14_RS07935",138,85,108,98,100,135
"PA14_RS07940",95,69,76,59,64,90
"PA14_RS07945",138,100,122,109,132,108
"PA14_RS07950",313,223,210,305,361,433
"PA14_RS07955",1460,822,1154,702,601,966
"PA14_RS07960",336,135,286,329,195,280
"PA14_RS07965",150,75,223,230,130,172
"PA14_RS07970",120,70,177,202,114,148
"PA14_RS07975",40,49,62,41,37,41
"PA14_RS07980",151,100,125,90,101,119
"PA14_RS07985",245,201,265,179,177,194
"PA14_RS07990",124,69,81,15,11,17
"PA14_RS07995",206,132,147,27,38,30
"PA14_RS08000",41,30,29,11,16,18
"PA14_RS08005",25,25,34,44,58,34
"PA14_RS08010",105,86,125,128,133,125
"PA14_RS08015",141,106,136,164,159,154
"PA14_RS08020",31,32,41,39,29,47
"PA14_RS08025",20,12,19,16,19,16
"PA14_RS08030",117,110,207,108,83,99
"PA14_RS08035",112,89,236,88,105,98
"PA14_RS08040",105,94,159,236,266,189
"PA14_RS08045",446,392,471,358,388,382
"PA14_RS08050",193,209,210,150,165,132
"PA14_RS08055",226,198,203,107,117,114
"PA14_RS08060",409,329,334,288,335,346
"PA14_RS08065",375,265,361,249,301,349
"PA14_RS08070",8235,5843,12724,3005,3896,3328
"PA14_RS08075",50,288,347,49,60,59
"PA14_RS08080",30,254,285,27,40,50
"PA14_RS08085",68,352,439,62,59,79
"PA14_RS08090",139,795,1079,131,169,173
"PA14_RS08095",265,1702,2463,280,254,479
"PA14_RS08100",575,1866,2267,262,271,434
"PA14_RS08105",51,62,79,26,42,34
"PA14_RS08110",87,63,103,34,51,41
"PA14_RS08115",332,305,405,280,318,279
"PA14_RS08120",73,84,137,46,69,64
"PA14_RS08125",253,151,443,67,91,91
"PA14_RS08130",11171,5513,13712,2295,2641,2567
"PA14_RS08135",46,46,61,34,36,55
"PA14_RS08140",11,12,14,12,19,18
"PA14_RS08145",23,15,29,15,13,14
"PA14_RS08150",19,34,60,27,47,46
"PA14_RS08155",9,6,7,2,6,6
"PA14_RS08160",24,16,24,18,18,19
"PA14_RS08165",47,42,66,34,35,45
"PA14_RS08170",20,18,30,20,30,32
"PA14_RS08175",39,27,44,23,30,23
"PA14_RS08180",23,13,28,16,29,27
"PA14_RS08185",241,166,227,152,213,192
"PA14_RS08190",366,264,360,265,294,285
"PA14_RS08195",932,898,1378,188,237,229
"PA14_RS08200",688,635,1181,50,52,40
"PA14_RS08205",654,506,984,51,43,47
"PA14_RS08210",1809,1335,2410,108,100,110
"PA14_RS08215",130,84,108,93,115,112
"PA14_RS30215",307,262,261,47,57,106
"PA14_RS08240",680,534,575,644,668,874
"PA14_RS08245",7,4,2,97,89,179
"PA14_RS08250",0,0,1,55,73,68
"PA14_RS08255",344,260,254,223,254,292
"PA14_RS08260",121,117,110,113,129,118
"PA14_RS08265",198,116,150,135,129,154
"PA14_RS08270",103,59,72,54,71,84
"PA14_RS08275",469,464,421,4,2,4
"PA14_RS08280",834,1086,709,12,18,16
"PA14_RS08285",118,96,142,57,71,84
"PA14_RS08290",181,171,177,133,130,124
"PA14_RS08295",149,123,110,77,76,100
"PA14_RS08300",459,421,442,371,348,358
"PA14_RS08305",690,580,588,378,542,625
"PA14_RS08310",615,495,459,444,507,589
"PA14_RS08315",635,420,582,621,655,788
"PA14_RS08320",1237,993,1513,1695,1949,2055
"PA14_RS08325",1900,1805,2411,1141,1349,1622
"PA14_RS08330",4535,3772,4725,2224,2472,2961
"PA14_RS08335",2127,1434,2524,948,1021,1174
"PA14_RS08340",7533,5622,9769,3929,4080,4568
"PA14_RS08345",3507,2741,4047,2406,2503,2712
"PA14_RS08350",1730,1175,1262,594,547,770
"PA14_RS08355",2334,1824,1845,974,918,1198
"PA14_RS08360",604,474,541,389,453,503
"PA14_RS08365",3156,2988,4153,2632,3164,2863
"PA14_RS08370",1252,799,1135,539,687,662
"PA14_RS08375",509,471,410,315,363,382
"PA14_RS08380",881,506,924,867,1367,1769
"PA14_RS08385",1993,1218,1693,1091,1103,1222
"PA14_RS08390",882,490,800,535,616,596
"PA14_RS08395",256,141,228,141,143,154
"PA14_RS08400",2903,1850,1051,1083,1453,4628
"PA14_RS08405",4170,1849,1948,450,643,2316
"PA14_RS08410",2991,1076,1610,56,57,71
"PA14_RS08415",1133,472,615,3,5,1
"PA14_RS08420",4156,1642,1963,16,42,26
"PA14_RS08425",1360,555,608,7,8,12
"PA14_RS08430",3369,1696,1219,96,115,95
"PA14_RS08435",2363,1500,932,19,22,22
"PA14_RS08440",2330,1810,784,30,45,46
"PA14_RS08445",2035,1574,580,12,13,21
"PA14_RS08450",8669,7531,4079,372,472,546
"PA14_RS08455",12892,10273,11390,332,296,341
"PA14_RS08460",1190,938,1047,57,55,59
"PA14_RS08465",245,177,210,69,89,85
"PA14_RS08470",66,54,47,43,42,43
"PA14_RS08475",403,329,338,249,440,403
"PA14_RS08480",202,169,154,165,206,183
"PA14_RS08485",22,27,26,59,66,59
"PA14_RS08490",271,201,223,130,158,127
"PA14_RS08495",361,209,173,33,34,48
"PA14_RS08500",288,330,314,197,238,189
"PA14_RS08505",303,248,182,237,247,208
"PA14_RS08510",170,160,93,163,181,195
"PA14_RS08515",361,360,295,209,250,243
"PA14_RS08520",642,583,629,396,458,441
"PA14_RS08525",642,463,590,344,439,393
"PA14_RS08530",1785,1097,1442,667,657,757
"PA14_RS08535",1005,595,692,557,899,1138
"PA14_RS08540",15059,5954,8086,9544,11449,18679
"PA14_RS08545",2796,3256,3926,2396,3193,2261
"PA14_RS08550",634,550,726,272,274,318
"PA14_RS08555",350,307,324,201,220,258
"PA14_RS31375",88,75,90,94,120,143
"PA14_RS31690",1616,922,483,595,744,2385
"PA14_RS08565",622,374,505,509,510,597
"PA14_RS08570",40,27,50,29,40,41
"PA14_RS08575",235,175,256,243,268,248
"PA14_RS08580",501,341,363,332,374,396
"PA14_RS08585",580,505,460,409,467,505
"PA14_RS08590",592,498,653,544,595,597
"PA14_RS08595",1039,917,784,488,462,510
"PA14_RS08600",2107,2117,1896,1745,2185,2369
"PA14_RS08605",92,38,64,41,45,53
"PA14_RS08610",2909,2681,2838,2332,2855,2617
"PA14_RS08615",136,108,158,32,51,48
"PA14_RS08620",782,633,677,735,937,871
"PA14_RS08625",512,678,407,246,331,338
"PA14_RS08630",133,138,94,58,65,66
"PA14_RS31380",28,30,23,9,17,19
"PA14_RS31635",13,14,11,5,7,12
"PA14_RS08635",38,30,20,4,2,1
"PA14_RS30250",1180,938,931,540,594,637
"PA14_RS08650",618,365,500,345,290,315
"PA14_RS08655",622,415,656,539,576,501
"PA14_RS08660",232,145,222,216,216,214
"PA14_RS08665",1873,1303,1685,2236,2496,2403
"PA14_RS08670",728,461,585,799,955,922
"PA14_RS08675",407,247,267,396,462,473
"PA14_RS08680",34,39,41,29,34,36
"PA14_RS08685",95,55,86,58,43,72
"PA14_RS08690",31,16,34,28,20,30
"PA14_RS08695",35,22,41,33,25,29
"PA14_RS08700",138,100,138,119,144,151
"PA14_RS08705",60,36,48,26,46,51
"PA14_RS08710",276,204,122,317,323,671
"PA14_RS08715",728,421,589,83,65,181
"PA14_RS08720",160,150,195,199,245,227
"PA14_RS08725",143,147,213,96,123,152
"PA14_RS08730",236,170,280,98,74,95
"PA14_RS08735",134,94,202,43,63,61
"PA14_RS08740",1273,975,1346,1463,1721,1763
"PA14_RS08745",1350,833,1467,3325,4072,2954
"PA14_RS08750",685,555,896,827,1083,755
"PA14_RS08755",348,269,381,361,471,480
"PA14_RS08760",208,200,304,209,260,208
"PA14_RS08765",1165,1149,1322,1281,1458,1398
"PA14_RS08770",27768,18369,36315,18484,24614,20072
"PA14_RS08775",258,167,178,128,216,187
"PA14_RS08780",431,403,435,344,367,398
"PA14_RS08785",607,507,452,551,626,731
"PA14_RS08800",3529,3343,4253,4237,5651,5374
"PA14_RS08805",667,530,970,431,396,588
"PA14_RS08810",1647,881,1492,1017,1004,1292
"PA14_RS08815",356,261,318,477,467,565
"PA14_RS08820",239,216,222,403,431,526
"PA14_RS08825",538,501,560,700,778,843
"PA14_RS08830",401,328,332,409,501,504
"PA14_RS08835",7295,6912,7563,8113,9005,9459
"PA14_RS08840",1663,1327,1417,1234,1390,1417
"PA14_RS08845",769,606,640,757,904,957
"PA14_RS08850",248,156,187,140,123,154
"PA14_RS08855",111,69,118,74,69,80
"PA14_RS08860",108,68,79,63,64,62
"PA14_RS08865",128,109,116,62,47,39
"PA14_RS08870",440,227,320,158,127,194
"PA14_RS08875",346,186,278,140,137,150
"PA14_RS08880",361,315,334,244,306,315
"PA14_RS08885",1211,1249,1265,1154,1372,1454
"PA14_RS08890",203,195,251,150,180,170
"PA14_RS08895",817,623,825,615,728,606
"PA14_RS08900",3644,3110,3677,2539,3171,2778
"PA14_RS08905",1317,1188,1020,1164,1429,1361
"PA14_RS08910",809,651,1118,664,811,729
"PA14_RS08915",634,475,559,581,630,639
"PA14_RS08920",139,113,183,156,165,165
"PA14_RS08935",15,35,30,16,25,28
"PA14_RS08940",1,4,2,2,5,0
"PA14_RS31745",0,0,0,1,1,2
"PA14_RS30260",1,1,1,13,13,20
"PA14_RS08960",3,2,2,8,5,7
"PA14_RS31220",58,66,41,59,72,57
"PA14_RS08965",2,3,6,6,5,8
"PA14_RS08970",1,2,3,2,0,1
"PA14_RS31225",3,2,1,0,0,0
"PA14_RS30265",0,6,10,0,10,7
"PA14_RS30270",1,8,6,0,6,1
"PA14_RS08985",2,1,2,5,5,5
"PA14_RS08990",0,2,0,1,0,0
"PA14_RS08995",0,2,0,0,0,1
"PA14_RS31230",3,2,9,0,1,0
"PA14_RS09000",2,0,3,6,3,6
"PA14_RS31235",5,4,2,1,0,1
"PA14_RS30280",0,2,1,1,0,0
"PA14_RS30285",2,5,1,1,1,1
"PA14_RS30290",39,16,27,25,20,25
"PA14_RS09015",12,5,5,6,3,7
"PA14_RS09020",65,40,62,50,43,42
"PA14_RS09025",314,417,573,224,289,261
"PA14_RS09030",431,421,835,389,367,471
"PA14_RS09035",49,37,48,31,32,41
"PA14_RS09040",117,89,122,146,148,171
"PA14_RS09045",1603,158,823,2052,2294,2206
"PA14_RS09050",3484,534,2583,5068,5204,3593
"PA14_RS09055",354,155,1113,2228,2491,1669
"PA14_RS09060",88,79,339,799,955,586
"PA14_RS09065",135,134,294,200,247,239
"PA14_RS09070",748,550,802,39067,45601,49754
"PA14_RS09075",160,127,185,71038,84521,95417
"PA14_RS09080",914,810,994,869,741,886
"PA14_RS09085",497,337,535,368,347,419
"PA14_RS09090",277,229,195,208,194,262
"PA14_RS09095",448,335,406,387,371,550
"PA14_RS09100",646,487,451,594,643,753
"PA14_RS09105",53,50,42,136,156,173
"PA14_RS09110",93,75,64,3,2,8
"PA14_RS09115",42,27,33,0,7,2
"PA14_RS09120",251,183,216,2,1,1
"PA14_RS09125",168,143,153,3,5,3
"PA14_RS09130",200,193,155,1,1,5
"PA14_RS09135",419,432,341,0,3,1
"PA14_RS09140",1156,1219,975,195,212,200
"PA14_RS09145",725,692,576,117,131,142
"PA14_RS09150",440,373,513,416,470,526
"PA14_RS09155",15,9,20,14,28,19
"PA14_RS09160",149,131,172,93,127,102
"PA14_RS09165",806,696,890,539,716,695
"PA14_RS09170",302,173,224,171,143,175
"PA14_RS09175",1142,802,687,736,981,984
"PA14_RS09180",783,646,541,609,811,854
"PA14_RS09185",436,477,451,433,602,612
"PA14_RS09190",479,355,436,360,433,428
"PA14_RS09195",1234,972,926,942,1148,1275
"PA14_RS09200",465,390,489,414,483,476
"PA14_RS09205",82,72,93,47,63,52
"PA14_RS09210",1055,866,1138,811,932,918
"PA14_RS09215",601,529,596,468,632,542
"PA14_RS09220",478,407,446,330,377,422
"PA14_RS09225",326,398,276,403,412,438
"PA14_RS09230",443,538,445,404,508,555
"PA14_RS09235",669,764,717,607,715,815
"PA14_RS09240",659,618,667,740,810,874
"PA14_RS09245",1620,1166,1343,1176,1424,1384
"PA14_RS09250",760,612,866,672,695,726
"PA14_RS09255",514,583,508,474,486,483
"PA14_RS09260",916,806,560,673,639,699
"PA14_RS09265",1330,1126,1194,1226,1409,1445
"PA14_RS09270",981,833,858,856,913,969
"PA14_RS09275",1241,1115,1031,974,930,1120
"PA14_RS09280",9201,7824,6804,8587,8691,9972
"PA14_RS09285",17139,14124,16581,17710,19447,20205
"PA14_RS09290",7294,6442,5901,7529,9255,8835
"PA14_RS09295",4025,3296,2492,3138,4289,4018
"PA14_RS09300",2907,2584,1760,2035,2978,2950
"PA14_RS30295",632,461,320,257,359,420
"PA14_RS09305",8595,7468,5014,2147,2056,2322
"PA14_RS09310",1363,1034,605,332,270,314
"PA14_RS09315",1412,907,592,343,291,312
"PA14_RS09320",3107,2121,1230,908,727,630
"PA14_RS09325",4318,3065,2405,1489,1487,1398
"PA14_RS09330",3409,2541,3475,1866,2106,2473
"PA14_RS09335",1559,1261,1508,1194,1303,1618
"PA14_RS09340",31014,23208,28585,21529,24061,23969
"PA14_RS09345",6431,7120,5485,5248,5935,5863
"PA14_RS09350",6629,7514,4726,5562,6682,6950
"PA14_RS09355",620,521,559,432,458,461
"PA14_RS09360",984,1048,1524,979,883,788
"PA14_RS09365",341,285,386,287,343,364
"PA14_RS09370",378,360,432,324,366,389
"PA14_RS09375",70,70,51,59,82,72
"PA14_RS09380",83,66,68,79,116,118
"PA14_RS09385",69,45,69,100,133,115
"PA14_RS09390",438,449,462,450,567,523
"PA14_RS09395",507,499,438,462,623,611
"PA14_RS09400",814,737,783,797,1048,1121
"PA14_RS09405",1090,1109,1256,916,1050,1116
"PA14_RS09410",1031,1085,1653,1083,1358,1230
"PA14_RS09415",9743,10238,11229,7859,8883,8625
"PA14_RS09420",3055,3158,2588,2227,2731,2472
"PA14_RS09425",3296,3110,2882,1873,2653,2420
"PA14_RS09430",2197,2076,1912,1068,1548,1698
"PA14_RS09435",5439,5103,4577,2420,3392,3668
"PA14_RS09440",1566,1569,1268,957,1145,1262
"PA14_RS09445",38444,42738,45605,39009,43304,38722
"PA14_RS09450",834,734,595,855,1000,1243
"PA14_RS09455",1,5,1,0,0,2
"PA14_RS09460",1,1,8,0,1,2
"PA14_RS09465",2,3,3,5,5,10
"PA14_RS09470",5,3,1,0,2,2
"PA14_RS09475",6,12,3,1,1,5
"PA14_RS09480",2,11,0,15,24,23
"PA14_RS29910",1,4,2,3,4,7
"PA14_RS09485",16,8,4,6,3,7
"PA14_RS09490",3,1,1,13,13,22
"PA14_RS29915",7,1,2,2,0,0
"PA14_RS29920",3,5,3,1,1,4
"PA14_RS09495",1,3,2,1,2,2
"PA14_RS09500",5216,4578,4842,2922,2942,3344
"PA14_RS09505",80,50,81,57,74,68
"PA14_RS09515",3846,2813,3838,4730,5115,4801
"PA14_RS09520",1274,1056,1120,1274,1457,1556
"PA14_RS09525",634,467,525,285,327,386
"PA14_RS09530",92,70,87,62,90,110
"PA14_RS09535",315,243,339,202,221,241
"PA14_RS09540",2055,1882,2272,1749,2104,2053
"PA14_RS09565",64,50,56,37,45,34
"PA14_RS09570",78,65,74,51,59,66
"PA14_RS09575",508,356,359,381,450,490
"PA14_RS09580",157,153,154,154,187,181
"PA14_RS09585",600,561,720,471,676,515
"PA14_RS09590",242,263,219,284,364,385
"PA14_RS09595",228,189,195,317,340,446
"PA14_RS09600",185,116,104,852,797,1417
"PA14_RS09605",137,91,91,102,117,127
"PA14_RS09610",181,112,166,160,170,216
"PA14_RS09615",371,212,231,218,215,262
"PA14_RS09620",523,396,418,349,363,410
"PA14_RS09625",3635,2236,1461,1358,2067,2301
"PA14_RS09630",1754,942,925,395,734,763
"PA14_RS09635",1371,629,745,434,814,786
"PA14_RS09640",2461,1015,1840,1254,1642,1165
"PA14_RS09645",3509,2192,4077,2565,3042,2802
"PA14_RS09650",640,569,820,454,610,587
"PA14_RS09655",9837,9114,6361,6976,9040,13645
"PA14_RS09660",870,385,654,707,858,730
"PA14_RS09665",2374,1771,2607,2021,2185,2276
"PA14_RS09670",2598,1879,2263,3566,4041,3469
"PA14_RS09675",3569,3060,3096,4734,5566,4672
"PA14_RS09680",1462,1508,1208,1990,2366,2011
"PA14_RS09685",1518,936,1656,1006,1208,1080
"PA14_RS09690",3312,3620,4391,3378,3723,3356
"PA14_RS09695",3052,3162,2257,2511,2959,2831
"PA14_RS09700",1843,1663,1282,1184,1564,1513
"PA14_RS09705",3313,3491,3553,1070,1235,1350
"PA14_RS09710",5779,4810,4580,692,860,833
"PA14_RS09715",3218,2949,2839,691,877,898
"PA14_RS09720",1027,965,881,275,315,334
"PA14_RS09725",1050,944,835,243,267,377
"PA14_RS09730",740,583,502,141,176,201
"PA14_RS09735",496,349,332,107,117,136
"PA14_RS09740",999,639,726,235,303,296
"PA14_RS09745",732,565,644,247,284,284
"PA14_RS09750",1476,1174,1146,401,477,492
"PA14_RS09755",692,518,547,187,213,221
"PA14_RS09775",368,348,363,322,347,444
"PA14_RS09780",367,353,392,321,392,503
"PA14_RS09785",237,198,155,130,214,215
"PA14_RS09790",942,688,839,533,592,659
"PA14_RS09795",339,262,320,257,257,273
"PA14_RS09800",425,262,348,226,239,296
"PA14_RS09805",655,524,590,602,726,797
"PA14_RS09810",523,460,437,472,598,655
"PA14_RS09815",557,531,417,465,515,590
"PA14_RS09820",396,295,305,303,397,350
"PA14_RS09825",638,619,739,502,628,650
"PA14_RS09830",3229,3176,3048,2198,2653,2713
"PA14_RS09835",324,296,261,173,189,216
"PA14_RS09840",209,229,190,132,170,174
"PA14_RS09845",2675,2045,1467,306,401,490
"PA14_RS09850",2173,1703,1042,373,484,547
"PA14_RS09855",402,260,277,331,366,394
"PA14_RS09860",151,137,130,121,168,201
"PA14_RS09865",9,8,11,2,5,7
"PA14_RS09870",340,311,340,387,407,459
"PA14_RS09875",557,442,386,454,638,644
"PA14_RS09880",530,450,526,504,650,612
"PA14_RS09885",310,239,244,286,388,346
"PA14_RS09890",111,129,90,104,147,147
"PA14_RS09895",383,403,386,441,496,531
"PA14_RS09900",1033,821,1068,874,1049,1119
"PA14_RS09905",410,335,667,180,217,255
"PA14_RS09910",3369,2589,3337,2433,2784,2982
"PA14_RS09915",166,133,140,106,147,134
"PA14_RS09920",134,123,94,68,120,145
"PA14_RS09925",17,21,11,12,5,8
"PA14_RS09930",122,107,93,35,39,50
"PA14_RS09935",68,70,53,50,79,86
"PA14_RS09940",102,86,101,60,104,106
"PA14_RS09945",104,82,107,109,99,141
"PA14_RS09950",21,21,21,71,49,82
"PA14_RS09955",109,82,107,85,130,147
"PA14_RS09960",233,121,164,190,162,252
"PA14_RS09965",445,282,284,357,443,546
"PA14_RS09970",306,302,252,263,290,347
"PA14_RS09975",802,667,739,795,715,909
"PA14_RS09980",160,136,141,147,164,203
"PA14_RS09985",1970,1641,2571,1622,1926,1778
"PA14_RS09990",1493,970,1270,1884,1657,2859
"PA14_RS09995",1132,1100,1251,779,854,757
"PA14_RS10000",1178,953,1225,888,1100,1116
"PA14_RS10005",813,650,863,601,784,621
"PA14_RS10010",45,31,52,27,27,39
"PA14_RS10015",370,296,338,181,232,248
"PA14_RS10020",1196,1246,1375,633,665,748
"PA14_RS10025",1294,1315,2120,294,208,334
"PA14_RS10030",1785,1747,2917,364,304,414
"PA14_RS10035",2952,2411,4287,623,482,711
"PA14_RS10040",132,72,170,147,122,138
"PA14_RS10045",5115,1177,4063,5184,5946,5482
"PA14_RS10050",71,40,56,44,40,53
"PA14_RS10055",43,27,53,29,24,25
"PA14_RS10060",72,53,55,47,58,73
"PA14_RS10065",558,432,546,516,547,620
"PA14_RS10070",292,243,237,221,313,333
"PA14_RS10075",115,84,112,57,86,83
"PA14_RS10085",6914,5838,8425,3806,4415,4748
