"","SRR16611076","SRR16611077","SRR16611078","SRR16611088","SRR16611089","SRR16611090"
"PA14_RS00665",62,55,53,53,53,66
"PA14_RS00670",105,59,149,52,58,99
"PA14_RS00675",170,109,139,186,218,237
"PA14_RS00680",297,277,287,345,392,497
"PA14_RS00690",66,54,53,35,48,42
"PA14_RS00695",34,23,33,25,34,31
"PA14_RS00700",170,94,229,207,210,167
"PA14_RS00705",4019,2811,2944,2649,3376,3835
"PA14_RS00710",2259,1090,1832,1720,1723,1750
"PA14_RS00715",3820,2172,2484,2682,2531,3219
"PA14_RS00720",349,237,225,117,208,268
"PA14_RS00725",1028,941,819,208,207,211
"PA14_RS00730",506,470,399,1,1,2
"PA14_RS00735",704,572,571,106,121,103
"PA14_RS00740",341,230,312,217,274,248
"PA14_RS00745",109,98,91,55,63,62
"PA14_RS00750",230,207,201,147,201,227
"PA14_RS00755",545,465,678,347,376,356
"PA14_RS00760",84,49,70,64,66,74
"PA14_RS00765",99,93,148,118,179,141
"PA14_RS00770",102,87,119,70,107,127
"PA14_RS00775",315,240,272,177,244,265
"PA14_RS00780",46,38,65,29,38,37
"PA14_RS00785",141,110,105,116,122,156
"PA14_RS00790",145,110,114,105,109,138
"PA14_RS00795",1247,932,1515,356,355,347
"PA14_RS00800",629,568,639,186,169,176
"PA14_RS00805",2986,2566,3077,766,889,911
"PA14_RS00810",737,609,898,322,351,415
"PA14_RS00815",134,85,110,81,80,106
"PA14_RS00825",202,146,215,133,129,174
"PA14_RS00830",334,233,323,274,285,284
"PA14_RS00835",352,462,409,216,252,244
"PA14_RS31175",79,86,88,66,66,58
"PA14_RS00845",73,78,89,49,71,73
"PA14_RS00850",87,61,63,51,60,84
"PA14_RS00855",636,523,497,662,829,826
"PA14_RS00860",420,378,388,517,623,585
"PA14_RS00865",298,269,183,334,508,559
"PA14_RS00870",37,45,23,91,152,160
"PA14_RS00875",46,50,26,126,203,206
"PA14_RS00880",246,254,201,608,998,988
"PA14_RS00885",499,197,339,113,116,91
"PA14_RS00890",472,219,352,81,76,78
"PA14_RS00895",1362,584,1051,252,204,210
"PA14_RS00900",8049,3305,6377,1670,1205,1136
"PA14_RS00905",1662,831,748,382,293,246
"PA14_RS00910",4359,3406,3838,1333,1187,1401
"PA14_RS00915",4307,1966,4333,853,729,1037
"PA14_RS00920",1090,616,913,407,366,418
"PA14_RS00925",182,146,177,167,212,201
"PA14_RS00930",86,59,71,48,72,71
"PA14_RS00935",117,62,83,120,121,150
"PA14_RS00940",30,24,32,48,70,60
"PA14_RS00945",80,62,92,51,65,62
"PA14_RS00950",73,41,61,42,42,54
"PA14_RS00955",77,54,72,113,150,160
"PA14_RS00960",84,57,72,55,83,73
"PA14_RS00965",149,71,126,71,68,84
"PA14_RS00970",71,62,78,62,71,75
"PA14_RS00975",12,12,33,19,26,27
"PA14_RS00980",49,31,24,45,56,56
"PA14_RS00985",401,302,295,319,308,474
"PA14_RS00990",83,72,61,62,62,94
"PA14_RS00995",552,331,341,432,399,479
"PA14_RS01000",78,31,223,100,59,68
